2.84E-05	0.000140807	0.000706415	0.003630336	0.018771784	0.082394111	0.204050259	0.372535651	0.537049294	0.672106083	0.774116484	0.847625512	0.898961281
4.05E-05	0.000202434	0.001026402	0.005339252	0.027405322	0.110676905	0.257218649	0.423651582	0.578267591	0.707926325	0.795960793	0.86276112	0.909226056
5.79E-05	0.000291634	0.001495671	0.007865817	0.039565052	0.144203046	0.309941393	0.471700627	0.616246141	0.730776629	0.815821389	0.876475774	0.918498289
8.30E-05	0.000421095	0.002185991	0.011591201	0.056165211	0.182198499	0.361174902	0.516578125	0.651156654	0.756383308	0.83386481	0.888893906	0.926867445
0.00011895	0.000609536	0.003204264	0.017047258	0.077946941	0.223585598	0.40562818	0.558292279	0.683185487	0.779627592	0.850245251	0.900129707	0.934415474
0.00017086	0.000884673	0.004709261	0.024938454	0.105254024	0.267192467	0.448595032	0.596922414	0.712523919	0.801687731	0.865105055	0.910287915	0.941217446
0.000245909	0.001287668	0.006934962	0.03612451	0.137895474	0.311913919	0.489934984	0.632591538	0.739361848	0.81969424	0.87857535	0.919464571	0.947342131
0.000354692	0.001879802	0.010220925	0.051529078	0.175172502	0.35680116	0.529375348	0.66544794	0.763883769	0.837700756	0.890776747	0.92774773	0.952852515
0.00051282	0.002752382	0.015046788	0.07195881	0.216045386	0.401092991	0.566746557	0.69538271	0.786266281	0.853647953	0.901820078	0.935218132	0.957806273
0.000743367	0.004041239	0.022060454	0.097875672	0.2593451	0.444210968	0.601958686	0.721983905	0.806676644	0.868125098	0.911807126	0.941949808	0.962256183
0.001080559	0.00594732	0.032077219	0.129227298	0.303945941	0.485737258	0.63498198	0.746615521	0.82527204	0.88125733	0.92083134	0.948010637	0.966250513
0.0015753	0.008764373	0.046015859	0.165430704	0.3488676	0.525386928	0.665831207	0.76937237	0.842199321	0.893159958	0.928978506	0.953462849	0.96983336
0.002303426	0.012912535	0.064745519	0.205511679	0.393315114	0.56298083	0.69455334	0.790354643	0.85759506	0.903939131	0.936327377	0.958363475	0.973044965
0.003377886	0.018970987	0.088863875	0.248314769	0.436678869	0.598421718	0.721217983	0.809664803	0.871585734	0.913692498	0.942950253	0.96276475	0.975921998
0.004966324	0.027692209	0.118495616	0.29269083	0.47851446	0.631674357	0.745910028	0.827405318	0.884123791	0.922509863	0.948913501	0.96671448	0.978497832
0.007315418	0.039967298	0.153220717	0.337617109	0.518515385	0.662749503	0.768724058	0.843677029	0.895508259	0.930473802	0.954278038	0.970256374	0.980802783
0.010782148	0.056709233	0.19216983	0.382250864	0.556485556	0.69169126	0.789760149	0.858578016	0.905872077	0.93766024	0.959099752	0.97343034	0.982864355
0.015868294	0.078651182	0.234222977	0.425937278	0.592314742	0.71856725	0.809120733	0.872202831	0.915292885	0.944138991	0.963429887	0.976272767	0.984707453
0.023246311	0.106122887	0.278212087	0.468192882	0.625957964	0.743461055	0.826908311	0.88464202	0.923843972	0.949974239	0.96731539	0.978816783	0.986354598
0.03375188	0.138917237	0.323064595	0.508679186	0.657418817	0.766466468	0.8432238	0.895981855	0.931594387	0.955224979	0.970799224	0.981092492	0.987826121
0.048308533	0.176322265	0.367876744	0.547174813	0.686736269	0.787683155	0.858165387	0.906304215	0.938609061	0.95994541	0.973920649	0.983127208	0.989140351
0.067762104	0.217290976	0.411933765	0.583550063	0.713974371	0.807213423	0.871827753	0.915686574	0.944948949	0.964185282	0.976715491	0.984945668	0.990313791
0.092654878	0.260652978	0.454699266	0.617745278	0.739214334	0.825159858	0.88430159	0.924202067	0.950671164	0.967984336	0.979216382	0.986570235	0.99136128
0.123036154	0.305285316	0.49579084	0.649753218	0.762548488	0.84162361	0.895673319	0.93191959	0.955829118	0.971392174	0.981452998	0.988021098	0.992296148
0.15841405	0.350212492	0.534952093	0.679605034	0.784075721	0.856703201	0.906024975	0.938903926	0.960472642	0.974447562	0.983452271	0.989316452	0.993130355
0.19787099	0.394644908	0.572026165	0.707359301	0.803898067	0.870493716	0.915434188	0.945215889	0.964648117	0.97718463	0.985238599	0.990472674	0.993874627
0.240268727	0.43797799	0.606932809	0.733093552	0.822118209	0.883086292	0.923974246	0.950912458	0.968398591	0.979634685	0.986834047	0.991504481	0.994538569
0.284445246	0.479771674	0.639649491	0.756897805	0.838837657	0.894567819	0.931714196	0.956046908	0.971763905	0.981826354	0.988258533	0.992425089	0.995130784
0.329348315	0.519723002	0.670196248	0.778869658	0.85415548	0.905020809	0.938718969	0.960668941	0.974780818	0.983785737	0.989530007	0.993246352	0.995658967
0.37410005	0.557638674	0.6986238	0.799110627	0.868167429	0.91452337	0.945049522	0.964824811	0.977483139	0.985536561	0.990664625	0.993978889	0.99613
